iter	Passed	Remaining
582	9772	6989
583	9787	6971
584	9801	6953
585	9813	6933
586	9826	6913
587	9840	6895
588	9864	6883
589	9880	6865
590	9918	6864
591	9949	6857
592	10002	6864
593	10030	6855
594	10047	6838
595	10063	6821
596	10108	6823
597	10121	6804
598	10133	6783
599	10147	6765
600	10161	6745
601	10174	6726
602	10190	6709
603	10207	6692
604	10218	6671
605	10230	6651
606	10244	6632
607	10258	6613
608	10272	6595
609	10286	6576
610	10300	6558
611	10311	6537
612	10325	6518
613	10339	6500
614	10353	6481
615	10372	6465
616	10385	6447
617	10401	6429
618	10413	6409
619	10435	6395
620	10445	6375
621	10459	6356
622	10472	6337
623	10486	6319
624	10503	6302
625	10518	6284
626	10532	6265
627	10543	6245
628	10559	6228
629	10573	6209
630	10592	6194
631	10647	6199
632	10662	6182
633	10683	6167
634	10701	6151
635	10720	6135
636	10740	6120
637	10758	6104
638	10771	6085
639	10786	6067
640	10800	6049
641	10813	6029
642	10825	6010
643	10839	5991
644	10852	5973
645	10864	5953
646	10877	5934
647	10887	5913
648	10901	5895
649	10914	5877
650	10927	5858
651	10940	5839
652	10953	5820
653	10968	5802
654	10982	5784
655	11002	5769
656	11024	5755
657	11044	5740
658	11061	5723
659	11098	5717
660	11134	5710
661	11183	5709
662	11227	5706
663	11259	5697
664	11308	5696
665	11342	5688
666	11363	5673
667	11389	5660
668	11409	5645
669	11422	5626
670	11435	5606
671	11446	5586
672	11458	5567
673	11471	5548
674	11485	5529
675	11496	5510
676	11517	5494
677	11529	5475
678	11542	5456
679	11557	5438
680	11570	5419
681	11583	5401
682	11595	5381
683	11608	5363
684	11620	5343
685	11633	5325
686	11649	5307
687	11667	5290
688	11684	5274
689	11697	5255
690	11708	5235
691	11724	5218
692	11737	5199
693	11752	5181
694	11768	5164
695	11788	5149
696	11805	5132
697	11823	5115
698	11847	5101
699	11869	5086
700	11895	5073
701	11925	5062
702	11969	5056
703	12028	5057
704	12054	5044
705	12090	5034
706	12119	5022
707	12143	5008
708	12164	4992
709	12188	4978
710	12206	4961
711	12223	4944
712	12236	4925
713	12247	4905
714	12260	4887
715	12273	4868
716	12285	4849
717	12297	4829
718	12311	4811
719	12324	4793
720	12339	4774
721	12355	4757
722	12372	4740
723	12389	4722
724	12406	4705
725	12431	4691
726	12444	4673
727	12458	4654
728	12473	4636
729	12486	4618
730	12501	4600
731	12513	4581
732	12529	4563
733	12543	4545
734	12559	4528
735	12571	4509
736	12585	4491
737	12599	4472
738	12611	4454
739	12629	4437
740	12647	4420
741	12666	4404
742	12682	4386
743	12700	4370
744	12716	4352
745	12732	4335
746	12748	4317
747	12764	4300
748	12781	4283
749	12792	4264
750	12807	4246
751	12827	4230
752	12841	4212
753	12854	4193
754	12866	4175
755	12879	4156
756	12893	4138
757	12904	4119
758	12918	4101
759	12934	4084
760	12947	4066
761	12961	4048
762	12975	4030
763	12988	4012
764	13001	3993
765	13014	3975
766	13029	3958
767	13042	3939
768	13056	3922
769	13068	3903
770	13082	3885
771	13098	3868
772	13112	3850
773	13126	3832
774	13140	3814
775	13153	3796
776	13164	3778
777	13177	3760
778	13190	3741
779	13205	3724
780	13223	3707
781	13236	3689
782	13252	3672
783	13268	3655
784	13279	3637
785	13292	3619
786	13308	3601
787	13322	3584
788	13336	3566
789	13350	3548
790	13361	3530
791	13376	3513
792	13389	3495
793	13402	3477
794	13416	3459
795	13427	3441
796	13440	3423
797	13454	3405
798	13467	3387
799	13478	3369
800	13491	3351
801	13504	3333
802	13516	3315
803	13527	3297
804	13538	3279
805	13551	3261
806	13565	3244
807	13575	3225
808	13587	3207
809	13600	3190
810	13615	3173
811	13628	3155
812	13640	3137
813	13654	3120
814	13668	3102
815	13681	3084
816	13693	3067
817	13704	3049
818	13718	3031
819	13732	3014
820	13749	2997
821	13768	2981
822	13786	2964
823	13805	2948
824	13826	2932
825	13852	2917
826	13884	2904
827	13917	2891
828	13945	2876
829	13967	2860
830	13989	2844
831	14013	2829
832	14054	2817
833	14075	2801
834	14095	2785
835	14117	2769
836	14132	2752
837	14159	2737
838	14181	2721
839	14213	2707
840	14248	2693
841	14289	2681
842	14328	2668
843	14357	2653
844	14376	2637
845	14399	2621
846	14427	2606
847	14450	2590
848	14471	2573
849	14494	2557
850	14525	2543
851	14553	2528
852	14576	2511
853	14603	2496
854	14623	2480
855	14648	2464
856	14666	2447
857	14684	2430
858	14702	2413
859	14717	2395
860	14732	2378
861	14752	2361
862	14766	2344
863	14780	2326
864	14795	2309
865	14807	2291
866	14821	2273
867	14845	2257
868	14864	2240
869	14878	2223
870	14889	2205
871	14902	2187
872	14915	2169
873	14929	2152
874	14943	2134
875	14955	2116
876	14967	2099
877	14981	2081
878	14995	2064
879	15006	2046
880	15017	2028
881	15032	2011
882	15044	1993
883	15057	1975
884	15067	1957
885	15080	1940
886	15093	1922
887	15106	1905
888	15116	1887
889	15128	1869
890	15142	1852
891	15156	1835
892	15167	1817
893	15179	1799
894	15192	1782
895	15206	1765
896	15217	1747
897	15228	1729
898	15246	1712
899	15258	1695
900	15270	1677
901	15281	1660
902	15294	1642
903	15308	1625
904	15322	1608
905	15336	1591
906	15346	1573
907	15360	1556
908	15373	1539
909	15386	1521
910	15395	1504
911	15407	1486
912	15420	1469
913	15433	1452
914	15443	1434
915	15457	1417
916	15469	1400
917	15480	1382
918	15491	1365
919	15504	1348
920	15516	1330
921	15527	1313
922	15539	1296
923	15552	1279
924	15567	1262
925	15582	1245
926	15596	1228
927	15609	1211
928	15629	1194
929	15642	1177
930	15657	1160
931	15673	1143
932	15694	1127
933	15722	1110
934	15747	1094
935	15780	1078
936	15806	1062
937	15836	1046
938	15875	1031
939	15902	1015
940	15946	999
941	15968	983
942	15991	966
943	16011	949
944	16029	932
945	16052	916
946	16075	899
947	16093	882
948	16105	865
949	16115	848
950	16128	831
951	16143	813
952	16163	797
953	16177	780
954	16191	762
955	16206	745
956	16216	728
957	16229	711
958	16243	694
959	16262	677
960	16277	660
961	16293	643
962	16306	626
963	16319	609
964	16330	592
965	16352	575
966	16362	558
967	16373	541
968	16385	524
969	16396	507
970	16411	490
971	16430	473
972	16445	456
973	16463	439
974	16479	422
975	16494	405
976	16511	388
977	16524	371
978	16536	354
979	16548	337
980	16558	320
981	16572	303
982	16584	286
983	16597	269
984	16610	252
985	16622	236
986	16634	219
987	16645	202
988	16655	185
989	16666	168
990	16676	151
991	16687	134
992	16699	117
993	16710	100
994	16723	84
995	16735	67
996	16746	50
997	16755	33
998	16767	16
999	16779	0
